country,cityname,city,idx,name,reason
Mexico,Manzanillo,manzanillo,6,El Tortugario Ecological Center (Cuyutlán),missing — no photo at all
Mexico,Manzanillo,manzanillo,8,Iguanario de Archundia,missing — no photo at all
Mexico,Manzanillo,manzanillo,9,Península de Santiago viewpoints,missing — no photo at all
Mexico,Morelia,morelia,6,Mercado de Dulces y Artesanías,missing — no photo at all
Mexico,Playa del Carmen,playa-del-carmen,5,Cenote Chaak Tun,missing — no photo at all
Mexico,Playa del Carmen,playa-del-carmen,8,Punta Esmeralda,missing — no photo at all
Mexico,San Cristóbal de las Casas,san-cristobal-de-las-casas,9,El Arcotete Ecological Park,missing — no photo at all
Mongolia,Ulaanbaatar,ulaanbaatar,9,Beatles Square,missing — no photo at all
Montenegro,Kotor,kotor,0,Kotor Cathedral (St. Tryphon's Cathedral),missing — no photo at all
Montenegro,Kotor,kotor,1,Kotor City Walls and St. John's Fortress,missing — no photo at all
Montenegro,Kotor,kotor,2,Church of St. Luke,missing — no photo at all
Montenegro,Kotor,kotor,3,Square of the Arms (Trg od Oružja),missing — no photo at all
Montenegro,Kotor,kotor,4,Sea Gate (Vrata od Mora),missing — no photo at all
Montenegro,Kotor,kotor,5,Maritime Museum of Montenegro,missing — no photo at all
Montenegro,Kotor,kotor,6,Napoleon's Theatre,missing — no photo at all
Montenegro,Kotor,kotor,7,Cats Museum of Kotor,missing — no photo at all
Montenegro,Kotor,kotor,8,Church of St. Nicholas,missing — no photo at all
Montenegro,Kotor,kotor,9,Our Lady of the Rocks,missing — no photo at all
Montenegro,Podgorica,podgorica,6,St. George's Church and Gorica Hill,missing — no photo at all
Montenegro,Podgorica,podgorica,8,Niagara Falls on the Cijevna,missing — no photo at all
Montserrat,Brades,brades,3,Jack Boy Hill Viewpoint,missing — no photo at all
Montserrat,Brades,brades,6,Montserrat National Trust Botanic Garden,missing — no photo at all
Montserrat,Brades,brades,7,Oriole Walkway Trail (Centre Hills),"reviewed, skipped — no usable candidate found"
Montserrat,Brades,brades,8,Runaway Ghaut,missing — no photo at all
Morocco,Agadir,agadir,4,Musee du Patrimoine Amazigh (Amazigh Heritage Museum),missing — no photo at all
Morocco,Agadir,agadir,5,Vallee des Oiseaux,missing — no photo at all
Morocco,Agadir,agadir,7,La Medina d'Agadir (Medina Polizzi),missing — no photo at all
Morocco,Chefchaouen,chefchaouen,9,Bab el-Ain gate and Callejon El Asri,missing — no photo at all
Mozambique,Inhambane,inhambane,5,Provincial Museum of Inhambane,missing — no photo at all
Mozambique,Inhambane,inhambane,8,Ilha dos Porcos (Pig Island),missing — no photo at all
Mozambique,Pemba,pemba,1,Paquitequete Fishing Village,missing — no photo at all
Mozambique,Pemba,pemba,4,Artes Maconde Craft Cooperative,missing — no photo at all
Mozambique,Pemba,pemba,5,Chuiba Beach,missing — no photo at all
Mozambique,Pemba,pemba,9,Mercado Municipal de Pemba,missing — no photo at all
Nauru,Yaren,yaren,1,Command Ridge,missing — no photo at all
Nauru,Yaren,yaren,8,Nauru Secondary School War Memorial,missing — no photo at all
New Zealand,Taupo,taupo,8,AC Baths,missing — no photo at all
Nicaragua,León,leon,5,Museo Rubén Darío,missing — no photo at all
Nicaragua,León,leon,8,Museum of Traditions and Legends,missing — no photo at all
Nicaragua,Managua,managua,4,Árboles de la Vida (Trees of Life),missing — no photo at all
Niger,Agadez,agadez,2,Sultan's Palace,missing — no photo at all
Niger,Agadez,agadez,4,Maison de Heinrich Barth,missing — no photo at all
Niger,Agadez,agadez,6,Camel Market,missing — no photo at all
Nigeria,Ibadan,ibadan,6,Dugbe Market,missing — no photo at all
Nigeria,Ibadan,ibadan,7,Oyo State Museum of Natural History,missing — no photo at all
Nigeria,Ibadan,ibadan,9,Ibadan's Seven Hills Viewpoints,missing — no photo at all
Nigeria,Osogbo,osogbo,4,Nike Centre for Art and Culture,"reviewed, skipped — no usable candidate found"
Pakistan,Gilgit,gilgit,3,Chinar Bagh,missing — no photo at all
Pakistan,Mingora,mingora,8,Mingora Bazaar,missing — no photo at all
Palau,Koror,koror,0,Rock Islands Southern Lagoon,missing — no photo at all
Palau,Koror,koror,1,Jellyfish Lake,missing — no photo at all
Palau,Koror,koror,2,Blue Corner,missing — no photo at all
Palau,Koror,koror,3,German Channel,missing — no photo at all
Palau,Koror,koror,4,Milky Way,missing — no photo at all
Palau,Koror,koror,5,Belau National Museum,missing — no photo at all
Palau,Koror,koror,6,Etpison Museum,missing — no photo at all
Palau,Koror,koror,7,Palau International Coral Reef Center,missing — no photo at all
Palau,Koror,koror,8,Koror-Babeldaob Bridge,missing — no photo at all
Palau,Koror,koror,9,Peleliu Battlefield,missing — no photo at all
Palestine,Hebron,hebron,6,Ramat al-Khalil (Ancient Mamre),missing — no photo at all
Palestine,Nablus,nablus,7,Hammam al-Shifa,missing — no photo at all
Papua New Guinea,Port Moresby,port-moresby,9,Loloata Island,missing — no photo at all
Paraguay,Asunción,asuncion,7,Antigua Estación Central del Ferrocarril,missing — no photo at all
Paraguay,Encarnación,encarnacion,3,Sambodromo de Encarnación,missing — no photo at all
Peru,Ica,ica,5,Bodega Tacama,missing — no photo at all
Peru,Iquitos,iquitos,5,Amazon Rescue Center (CREA),missing — no photo at all
Peru,Trujillo,trujillo,8,Museo de Arqueología de la Universidad de Trujillo,missing — no photo at all
Philippines,Boracay,boracay,7,Ariel's Point,missing — no photo at all
Philippines,Coron,coron,3,Mount Tapyas viewpoint,missing — no photo at all
Philippines,Coron,coron,4,Coron Island (Calis) limestone cliffs,missing — no photo at all
Philippines,Davao,davao,7,Bankerohan Public Market,missing — no photo at all
Philippines,Legaspi,legaspi,8,Japanese Tunnel (Legazpi),missing — no photo at all
Philippines,Panglao,panglao,7,Napaling Point,missing — no photo at all
Philippines,Siargao,siargao,3,Daku Island,missing — no photo at all
Philippines,Siargao,siargao,7,Sohoton Cove (Bucas Grande),missing — no photo at all
Philippines,Siargao,siargao,8,Coconut Mountain View Deck,missing — no photo at all
Philippines,Siargao,siargao,9,Pacifico Beach,missing — no photo at all
Philippines,Vigan,vigan,8,Baluarte ni Chavit Singson,missing — no photo at all
Philippines,Vigan,vigan,9,Hidden Garden,missing — no photo at all
Portugal,Coimbra,coimbra,9,Rua Ferreira Borges and the Baixa,missing — no photo at all
Romania,Constanța,constanta,2,National History and Archaeology Museum and Ovid Square,missing — no photo at all
Romania,Constanța,constanta,6,Old Town peninsula and seafront promenade,missing — no photo at all
Romania,Constanța,constanta,9,Constanța Dolphinarium,missing — no photo at all
Russia,Sergiyev Posad,sergiyev-posad,7,Blinnaya Gora (Pancake Hill) Viewpoint,missing — no photo at all
Russia,Vladimir,vladimir,9,"Trinity Church (Crystal, Lacquer Miniatures and Embroidery Museum)",missing — no photo at all
Rwanda,Cyangugu,cyangugu,2,Rusizi River Border and Bridge,missing — no photo at all
Rwanda,Cyangugu,cyangugu,3,Gihaya Island,missing — no photo at all
Rwanda,Cyangugu,cyangugu,7,Kumbya Peninsula,missing — no photo at all
Rwanda,Cyangugu,cyangugu,8,Mibirizi Catholic Church,missing — no photo at all
Rwanda,Gisenyi,gisenyi,2,Nyamyumba Hot Springs,missing — no photo at all
Rwanda,Gisenyi,gisenyi,3,Congo Nile Trail (Northern Trailhead),missing — no photo at all
Rwanda,Gisenyi,gisenyi,5,Imbabazi Gardens (Rosamond Carr's Mugongo),missing — no photo at all
Rwanda,Gisenyi,gisenyi,6,Pfunda Tea Estate,missing — no photo at all
Rwanda,Gisenyi,gisenyi,8,Gisenyi Central Market,missing — no photo at all
Rwanda,Kigali,kigali,9,Caplaki Craft Village,missing — no photo at all
Saint Pierre and Miquelon,Saint-Pierre,saint-pierre,9,Quai de la République Waterfront,missing — no photo at all
Saint-Martin,Marigot,marigot,3,Rue de la République,missing — no photo at all
Saint-Martin,Marigot,marigot,5,Loterie Farm,missing — no photo at all
Saint-Martin,Marigot,marigot,7,Friar's Bay Beach,missing — no photo at all
Saudi Arabia,Abha,abha,8,Abha High City,missing — no photo at all
Saudi Arabia,Abha,abha,9,Souq Al Thulatha (Tuesday Market),missing — no photo at all
Saudi Arabia,Jeddah,jeddah,4,Jeddah Sculpture Museum (Open-Air),missing — no photo at all
Saudi Arabia,Riyadh,riyadh,8,Al Bujairi Heritage Park,missing — no photo at all
Saudi Arabia,Riyadh,riyadh,9,Riyadh Zoo,"reviewed, skipped — no usable candidate found"
Saudi Arabia,Ta'if,ta-if,6,Al Rudaf Park,missing — no photo at all
Saudi Arabia,Ta'if,ta-if,7,Saiysad National Park,missing — no photo at all
Saudi Arabia,Ta'if,ta-if,8,Old Ta'if Souq (Souq Al Balad),missing — no photo at all
Saudi Arabia,Ta'if,ta-if,9,Al Kar Tourist Village,missing — no photo at all
Senegal,Saint-Louis,saint-louis,7,Musée de la Photographie (MuPho),missing — no photo at all
Senegal,Saint-Louis,saint-louis,9,Quai Roume Market,missing — no photo at all
Senegal,Ziguinchor,ziguinchor,1,Marché Saint-Maur-des-Fossés,missing — no photo at all
Senegal,Ziguinchor,ziguinchor,7,Place Jean-Paul II,"reviewed, skipped — no usable candidate found"
Senegal,Ziguinchor,ziguinchor,9,Boulevard du Général de Gaulle,missing — no photo at all
Seychelles,Victoria,victoria,9,Bicentennial Monument (Twa Zwazo),missing — no photo at all
Sierra Leone,Freetown,freetown,8,King Jimmy Market,missing — no photo at all
Sierra Leone,Freetown,freetown,9,Big Market,missing — no photo at all
Sint Maarten,Philipsburg,philipsburg,7,Rainforest Adventures Rockland Estate,missing — no photo at all
Slovakia,Poprad,poprad,9,Evangelical Church of the Holy Spirit,missing — no photo at all
Solomon Islands,Honiara,honiara,8,Betikama War Relics Museum,missing — no photo at all
South Africa,Nelspruit,nelspruit,5,Nelspruit Nature Reserve,missing — no photo at all
South Africa,Nelspruit,nelspruit,7,I'langa Mall,missing — no photo at all
South Africa,Plettenberg Bay,plettenberg-bay,8,Kranshoek Viewpoint,missing — no photo at all
South Africa,Plettenberg Bay,plettenberg-bay,9,Tenikwa Wildlife Awareness Centre,missing — no photo at all
South Africa,Port Elizabeth,port-elizabeth,8,Sardinia Bay,missing — no photo at all
South Korea,Jeonju,jeonju,9,Wansan Park,missing — no photo at all
South Sudan,Juba,juba,4,All Saints Cathedral,missing — no photo at all
South Sudan,Juba,juba,6,University of Juba,licence blocked — replacement was CC BY-NC-SA — NonCommercial
South Sudan,Juba,juba,7,Konyo Konyo Market,missing — no photo at all
South Sudan,Juba,juba,8,Nyakuron Cultural Centre,missing — no photo at all
South Sudan,Juba,juba,9,Custom Market,missing — no photo at all
Spain,Zaragoza,zaragoza,6,Goya Museum,"reviewed, skipped — no usable candidate found"
Sri Lanka,Bentota,bentota,3,Bentota River Safari,missing — no photo at all
Sri Lanka,Bentota,bentota,7,Galapata Raja Maha Viharaya,missing — no photo at all
Sri Lanka,Bentota,bentota,8,Paradise Island Sandbar (Aluthgama),missing — no photo at all
Sri Lanka,Galle,galle,5,Flag Rock Bastion,missing — no photo at all
Sri Lanka,Negombo,negombo,8,Duwa Fishing Village,missing — no photo at all
Sri Lanka,Trincomalee,trincomalee,9,Trincomalee Harbour,"reviewed, skipped — no usable candidate found"
St. Kitts and Nevis,Basseterre,basseterre,9,Timothy Hill Overlook,missing — no photo at all
Sudan,Port Sudan,port-sudan,1,Shaab Rumi Reef and Precontinent II,missing — no photo at all
Sudan,Port Sudan,port-sudan,4,Arous Village,missing — no photo at all
Sudan,Port Sudan,port-sudan,5,Towartit Reefs,missing — no photo at all
Sudan,Port Sudan,port-sudan,7,Red Sea Museum,"reviewed, skipped — no usable candidate found"
Tanzania,Arusha,arusha,3,Maasai Market (Curio Market),missing — no photo at all
Tanzania,Arusha,arusha,8,The Tanzanite Experience Museum,missing — no photo at all
Tanzania,Moshi,moshi,2,Materuni Coffee Tour,missing — no photo at all
Tanzania,Moshi,moshi,7,Rau Forest Reserve,missing — no photo at all
Tanzania,Moshi,moshi,9,Kilasiya Waterfall,missing — no photo at all
Thailand,Hua Hin,hua-hin,4,Maruekhathaiyawan Palace (Palace of Love and Hope),missing — no photo at all
Thailand,Ko Samui,ko-samui,9,Lad Koh Viewpoint,missing — no photo at all
Thailand,Nakhon Ratchasima,nakhon-ratchasima,5,Sai Ngam Banyan Grove,missing — no photo at all
Thailand,Nakhon Ratchasima,nakhon-ratchasima,8,Maha Wirawong National Museum,missing — no photo at all
Thailand,Nakhon Ratchasima,nakhon-ratchasima,9,Save One Night Market,missing — no photo at all
Thailand,Pai,pai,4,Tha Pai Hot Springs,missing — no photo at all
Thailand,Pai,pai,9,Pai Land Split,missing — no photo at all
Thailand,Pattaya-Chonburi,pattaya-chonburi,7,Art in Paradise Pattaya,"reviewed, skipped — no usable candidate found"
Thailand,Pattaya-Chonburi,pattaya-chonburi,9,Underwater World Pattaya,missing — no photo at all
Thailand,Phuket,phuket,9,Naka Weekend Market,missing — no photo at all
Togo,Lomé,lome,6,Lomé Grand Marché Textile District,missing — no photo at all
Togo,Lomé,lome,7,National Museum of Togo,missing — no photo at all
Togo,Lomé,lome,8,Wharf Français (Old Colonial Pier),missing — no photo at all
Togo,Lomé,lome,9,Lomé Central Station (Gare de Lomé),missing — no photo at all
Tonga,Nuku'alofa,nuku-alofa,8,International Dateline Marker,missing — no photo at all
Trinidad and Tobago,Port of Spain,port-of-spain,8,Lion House,"reviewed, skipped — no usable candidate found"
Tunisia,Monastir,monastir,7,Monastir Corniche and Plage de la Falaise,missing — no photo at all
Tunisia,Monastir,monastir,8,Museum of Islamic Art,missing — no photo at all
Tunisia,Sousse,sousse,7,Boujaffar Beach,missing — no photo at all
Tunisia,Tozeur,tozeur,3,Belvédère Rocks,missing — no photo at all
Tunisia,Tozeur,tozeur,5,Zoo du Sahara et Jardin du Paradis,missing — no photo at all
Tunisia,Tozeur,tozeur,6,El Ferdous Mosque,missing — no photo at all
Tunisia,Tozeur,tozeur,8,Central Market of Tozeur,missing — no photo at all
Turkey,Trabzon,trabzon,8,Bedesten Bazaar,missing — no photo at all
Turks and Caicos Islands,Cockburn Town,cockburn-town,1,Front Street and Duke Street historic district,missing — no photo at all
Turks and Caicos Islands,Cockburn Town,cockburn-town,3,Governor's Beach,missing — no photo at all
Turks and Caicos Islands,Cockburn Town,cockburn-town,4,Columbus Landfall National Park,missing — no photo at all
Turks and Caicos Islands,Cockburn Town,cockburn-town,5,Her Majesty's Prison,missing — no photo at all
Turks and Caicos Islands,Cockburn Town,cockburn-town,7,Gibbs Cay,missing — no photo at all
Turks and Caicos Islands,Cockburn Town,cockburn-town,9,Pillory Beach,missing — no photo at all
Tuvalu,Funafuti,funafuti,2,Tuvalu Philatelic Bureau,"reviewed, skipped — no usable candidate found"
Tuvalu,Funafuti,funafuti,8,Tuvalu National Library and Archives,missing — no photo at all
Türkiye,Alanya,alanya,4,Tersane (Seljuk Shipyard),missing — no photo at all
Türkiye,Alanya,alanya,9,Alanya Harbour and Lovers' Cave Boat Tours,missing — no photo at all
Türkiye,Denizli,denizli,4,Denizli Teleferik and Bağbaşı Plateau,missing — no photo at all
Türkiye,Denizli,denizli,8,Kaleiçi Bazaar,missing — no photo at all
Türkiye,Gaziantep,gaziantep,6,Emine Göğüş Culinary Museum,missing — no photo at all
Türkiye,Kayseri,kayseri,5,Kayseri Covered Bazaar and Vezirhan,missing — no photo at all
Türkiye,Kuşadası,kusadasi,8,Kuşadası Grand Bazaar,missing — no photo at all
Türkiye,Kuşadası,kusadasi,9,Kordon Promenade,missing — no photo at all
Türkiye,Mardin,mardin,9,Revaklı Çarşı (Old Bazaar),missing — no photo at all
Türkiye,Marmaris,marmaris,1,Kaleiçi (Old Town),missing — no photo at all
Türkiye,Marmaris,marmaris,3,Uzunyalı Promenade (Long Beach),missing — no photo at all
Türkiye,Marmaris,marmaris,9,Marmaris Grand Bazaar,missing — no photo at all
Türkiye,Çeşme,cesme,4,Aya Yorgi Bay,missing — no photo at all
Türkiye,Şanlıurfa,sanliurfa,9,On Gözlü Köprü (Ten-Eyed Bridge),missing — no photo at all
United States,Anaheim,anaheim,7,Center Street Promenade,missing — no photo at all
United States,Reno,reno,4,Midtown District Murals,missing — no photo at all
United States,Scottsdale,scottsdale,5,The Wave (Scottsdale Waterfront),missing — no photo at all
Uzbekistan,Urganch,urganch,4,Museum of Contemporary Art of Uzbekistan,wrong subject — subject unverifiable
Uzbekistan,Urganch,urganch,5,Monument to the Twenty Komsomol Members,missing — no photo at all
Vanuatu,Port Vila,port-vila,8,Rentapao (Teouma) Blue Hole,missing — no photo at all
Vietnam,Hoi An,hoi-an,8,Tra Que Vegetable Village,missing — no photo at all
Vietnam,Hoi An,hoi-an,9,Thanh Ha Pottery Village,missing — no photo at all
Vietnam,Nha Trang,nha-trang,8,Thap Ba Hot Springs and Mud Baths,missing — no photo at all
Vietnam,Sa Pa,sa-pa,6,Thac Tinh Yeu (Love Waterfall),missing — no photo at all
Western Sahara,Laayoune,laayoune,0,Moulay Abdel Aziz Grand Mosque,missing — no photo at all
Western Sahara,Laayoune,laayoune,3,Colline aux Oiseaux,missing — no photo at all
Western Sahara,Laayoune,laayoune,5,Old Spanish Quarter (Colonial Lower Town),missing — no photo at all
Western Sahara,Laayoune,laayoune,6,Souk Djemal (camel market district),missing — no photo at all
Western Sahara,Laayoune,laayoune,7,Ensemble Artisanal (craft complex),missing — no photo at all
Western Sahara,Laayoune,laayoune,9,Souk ez-Zaj,missing — no photo at all
Zambia,Livingstone,livingstone,9,Batoka Gorge,missing — no photo at all
Zambia,Lusaka,lusaka,9,Kabwata Cultural Village,missing — no photo at all
Zimbabwe,Bulawayo,bulawayo,8,Mzilikazi Arts & Crafts Centre,missing — no photo at all
Zimbabwe,Harare,harare,6,Chapungu Sculpture Park,missing — no photo at all
Zimbabwe,Harare,harare,7,Domboshava Rocks,missing — no photo at all
